"Domestic City","GAL City","Country","Country Code","State","GAL City Code"
"Agartala","Agartala","India","IND","Tripura","IXA"
"Agra","Agra","India","IND","Uttar Pradesh","AGR"
"Ahmedabad","Ahmedabad","India","IND","Gujarat","AMD"
"Aizawl","Aizawl","India","IND","Mizoram","AJL"
"Akola","Akola","India","IND","Maharashtra","AKD"
"Allahabad","Allahabad","India","IND","Uttar Pradesh","IXD"
"Along","Along","India","IND","Arunachal Pradesh","IXV"
"Amritsar","Amritsar","India","IND","Punjab","ATQ"
"Aurangabad","Aurangabad","India","IND","Maharashtra","IXU"
"Belgaum","Belgaum","India","IND","Karnataka","IXG"
"Bellary","Bellary","India","IND","Karnataka","BEP"
"Bhatinda","Bhatinda","India","IND","Punjab","BUP"
"Bhavnagar","Bhavnagar","India","IND","Gujarat","BHU"
"Bhopal","Bhopal","India","IND","Madhya Pradesh","BHO"
"Bhuj","Bhuj","India","IND","Gujarat","BHJ"
"Bikaner","Bikaner","India","IND","Rajasthan","BKB"
"Bilaspur","Bilaspur","India","IND","Chhattisgarh","PAB"
"Chandigarh","Chandigarh","India","IND","Chandigarh","IXC"
"Chennai","Chennai","India","IND","Tamil Nadu","MAA"
"Coimbatore","Coimbatore","India","IND","Tamil Nadu","CJB"
"Cooch Behar","Cooch Behar","India","IND","West Bengal","COH"
"Daman","Daman","India","IND","Daman & Diu","NMB"
"Dibrugarh","Dibrugarh","India","IND","Assam","DIB"
"Dimapur","Dimapur","India","IND","Nagaland","DMU"
"Durgapur","Durgapur","India","IND","West Bengal","RDP"
"Faridabad","Faridabad","India","IND","Haryana","QNF"
"Gaya","Gaya","India","IND","Bihar","GAY"
"Gorakhpur","Gorakhpur","India","IND","Uttar Pradesh","GOP"
"Guwahati","Guwahati","India","IND","Assam","GAU"
"Gwalior","Gwalior","India","IND","Madhya Pradesh","GWL"
"Hubli","Hubli","India","IND","Karnataka","HBX"
"Hyderabad","Hyderabad","India","IND","Telangana","HYD"
"Imphal","Imphal","India","IND","Manipur","IMF"
"Indore","Indore","India","IND","Madhya Pradesh","IDR"
"Jabalpur","Jabalpur","India","IND","Madhya Pradesh","JLR"
"Jagdalpur","Jagdalpur","India","IND","Chhattisgarh","JGB"
"Jaipur","Jaipur","India","IND","Rajasthan","JAI"
"Jaisalmer","Jaisalmer","India","IND","Rajasthan","JSA"
"Jalandhar","Jalandhar","India","IND","Punjab","QJU"
"Jammu","Jammu","India","IND","Jammu & Kashmir","IXJ"
"Jamnagar","Jamnagar","India","IND","Gujarat","JGA"
"Jamshedpur","Jamshedpur","India","IND","Jharkhand","IXW"
"Jodhpur","Jodhpur","India","IND","Rajasthan","JDH"
"Jorhat","Jorhat","India","IND","Assam","JRH"
"Kanpur","Kanpur","India","IND","Uttar Pradesh","KNU"
"Khajuraho","Khajuraho","India","IND","Madhya Pradesh","HJR"
"Kolhapur","Kolhapur","India","IND","Maharashtra","KLH"
"Kolkata","Kolkata","India","IND","West Bengal","CCU"
"Kota","Kota","India","IND","Rajasthan","KTU"
"Latur","Latur","India","IND","Maharashtra","LTU"
"Lucknow","Lucknow","India","IND","Uttar Pradesh","LKO"
"Ludhiana","Ludhiana","India","IND","Punjab","LUH"
"Madurai","Madurai","India","IND","Tamil Nadu","IXM"
"Mangalore","Mangalore","India","IND","Karnataka","IXE"
"Mumbai","Mumbai","India","IND","Maharashtra","BOM"
"Mysore","Mysore","India","IND","Karnataka","MYQ"
"Nagpur","Nagpur","India","IND","Maharashtra","NAG"
"Nanded","Nanded","India","IND","Maharashtra","NDC"
"Pantnagar","Pantnagar","India","IND","Uttaranchal","PGH"
"Pathankot","Pathankot","India","IND","Punjab","IXP"
"Patna","Patna","India","IND","Bihar","PAT"
"Pondicherry","Pondicherry","India","IND","Pondicherry","PNY"
"Porbandar","Porbandar","India","IND","Gujarat","PBD"
"Port Blair","Port Blair","India","IND","Andaman Nicobar","IXZ"
"Pune","Pune","India","IND","Maharashtra","PNQ"
"Raipur","Raipur","India","IND","Chhattisgarh","RPR"
"Rajahmundry","Rajahmundry","India","IND","Andhra Pradesh","RJA"
"Rajkot","Rajkot","India","IND","Gujarat","RAJ"
"Ranchi","Ranchi","India","IND","Jharkhand","IXR"
"Ratnagiri","Ratnagiri","India","IND","Maharashtra","RTC"
"Rourkela","Rourkela","India","IND","Orissa","RRK"
"Salem","Salem","India","IND","Tamil Nadu","SXV"
"Shillong","Shillong","India","IND","Meghalaya","SHL"
"Silchar","Silchar","India","IND","Assam","IXS"
"Srinagar","Srinagar","India","IND","Jammu & Kashmir","SXR"
"Surat","Surat","India","IND","Gujarat","STV"
"Tezpur","Tezpur","India","IND","Assam","TEZ"
"Thanjavur","Thanjavur","India","IND","Tamil Nadu","TJV"
"Thiruvananthapuram","Thiruvananthapuram","India","IND","Kerala","TRV"
"Tirupati","Tirupati","India","IND","Andhra Pradesh","TIR"
"Tuticorin","Tuticorin","India","IND","Tamil Nadu","TCR"
"Udaipur","Udaipur","India","IND","Rajasthan","UDR"
"Vadodara","Vadodara","India","IND","Gujarat","BDQ"
"Varanasi","Varanasi","India","IND","Uttar Pradesh","VNS"
"Vijayawada","Vijayawada","India","IND","Andhra Pradesh","VGA"
"Warangal","Warangal","India","IND","Telangana","WGC"
